Party_A_Suspects,Party_B_Suspects
Dr. Janet Martinez,Julie Adams
Mrs. Tiffany Taylor,Benjamin Howard DVM
Christina Adams,Erica Frederick
Juan Lee,Susan Smith
Adrian Cruz,Monique Brooks
Jon Bell,Arthur Moore
Kevin Rodriguez,Sara Mason
Wayne Dennis,Chad Evans
Robert Blake,Anthony Williamson
Megan Hess,Ricardo Mendez
Jordan Stuart,Michael Dickerson
Micheal Harper,Ronald Reed
Michelle Stephens,James Brown
Michael Campos,Kayla Perez
Shane Bowers,Marcus Mathews
Gabriel Sanchez,Christopher Cox
Jack Becker,Amy Daugherty
Lori Walsh,Kylie Carr
Timothy Thompson,Kathy Spears
Tamara James,Keith Boyer
Christopher Bell,Michael Green
Michael Long,Debbie Morales
Brandon Bennett,Valerie Lester
Greg Williams DDS,Lori Baker
Michael Mitchell,Austin Ward
Tommy Murphy,Jeremy Walker
Chris Miller,Jennifer Carey
Trevor Conner,Oscar Wong
Gregory Mooney,Jordan Walters
April Davidson,Stephanie Rice
Sarah Wright,Alan Wilcox
Veronica Hall,Alyssa Arnold
Richard Johnson,Ryan Moore
Janice Bradley,Chelsea Lambert
Jessica Preston,Jeffrey Ball
Andrew Combs,Morgan Levy
Amber Delacruz,Joyce Moreno
Jermaine Salazar,Troy Vance
Carrie Mullen,Bradley Garcia
Sharon Wilson,Jessica Owens
Danielle Thompson,Kristina Holland
Jennifer Melton,Kelsey Howell
Kelly Brown,Kathryn Weber
Christian Ross,Diana Avila
Mrs. Brandy Ayala,Heather Kennedy
Nicholas Hopkins,Mark Sanchez
Ivan Gray,Jennifer Baker
Shannon Higgins,Mr. Curtis Jennings
Nicholas Snow,Cheryl Jacobson
Henry Davis,John Melton
Brandon Chambers,Anthony Hahn
Timothy Wood,Joseph Guerrero
Jonathan Norman,Tabitha Nguyen
Scott Guerra,Roy Allen
Adam Gonzales,Martin Solis
Caroline Ryan,Sandra Webb
Brianna Ruiz,Angela Sutton
Michelle Alvarez,David Jackson
Roberto Cook,Sean Henderson
Wesley Cummings,Michelle Johnson
Mark Merritt,Melissa Thompson
Timothy Donovan,Walter King
Aaron King,Timothy Richardson
Shawn Mcguire,Patrick Velasquez
Marcus Dunn,Kaitlyn Hill
Morgan Torres,Christina Morgan
Alyssa Cain,Jeffery Phillips
Melanie Underwood,Kelly Bryant
Anthony Maldonado,Michelle Merritt
Matthew Smith,Timothy Austin
Julie Porter,Anna Rivas
Derek Wilson,Jennifer Sanchez
Tanner Huang,Sarah Johnson
Julia Wood,Paul Reynolds
Karen Waters,Brian Thompson
Lisa Mckenzie,Taylor Tucker
Amanda Woods,Patricia Anthony PhD
Sarah Griffith,Bryan Contreras
Mr. Christopher Hicks,Kevin Rosales
Henry Gonzalez,Lance Spears
Thomas Smith,Michael Garza
Christopher Boyer,Stephanie Kirk
Robert Proctor,Madison Serrano
Megan Perez,Sylvia Jones
Tonya Buck,Melissa Giles
Melissa Rowe,Holly Jordan
Sally Watson,Alan Bruce
Julie Ritter,Gregory Berry
Michael Preston,Jacqueline Davis
Wendy Smith,Cole Jackson
Mr. Stephen Russell DDS,Robert Ellis
Joan Rodriguez,Mr. Christopher Hicks
Shane Miller,Christie Patrick
Michael Kelly,Bryan Smith
Michael Gallegos,Andrew Fowler
Anthony Grimes,Roy Stephens
Clinton Jimenez,Michael Giles
Natasha Frye,David Hood
Jason Brown,Mary Burns
Sandra Hall,Stephanie Rodriguez
Crystal Williams,Kelly Evans
Lisa Jackson,Ross Bailey
Jessica Carroll,Cody Ward
Amber Rose,Dennis Patterson
Cameron Ochoa,Jacob Smith
George Duncan,Daniel Wolfe
Noah Klein,Karen Wolf
Jason Harrison,Brandon Bennett
Marcus Parks,Sarah Atkins
Jeffrey Wallace,Jessica Miller
Jean Brown,Levi Jones
Francis Roberts,Carl Bradford
Michael Fernandez,Samantha Campbell MD
Sarah Chavez,Sarah Hartman
Patricia Mckinney,Tammy Rodriguez
Dana Davis,Danielle Hall
Justin White,Justin Daniel
Peter Reed,William Sherman
Bryce Perry,Raymond Fisher
Sarah Johnson MD,Sharon Zamora
Timothy Griffith,Joshua Taylor
Tiffany Richardson,Hunter Clark
Steven Gonzalez,Jennifer Thomas
Daniel Wolfe,Daniel Hill
Miguel Jones,Elizabeth Jacobs
Matthew Steele,Gerald Brown
Ruben Schwartz,Anna Lee
Marcia Adams,Samuel Hale
Dr. Nicholas Acosta,Lori Thomas
Austin Rodriguez,Aaron Bishop
Cassandra Perez,Jessica Roman
Christy Johnson,Stephanie Collins
Brenda Monroe,Andrew Mullen
Elizabeth Thompson,Connie Contreras
David Hill,Scott Mitchell
Teresa Chase,Lynn Walters
Jonathan Grant,Thomas Murray
William Taylor,Ms. Barbara Frederick
Tracy Price,Melinda Hernandez
Dylan Holden,Samantha Green
Michael Morgan,Kristen Gregory
Elizabeth Anderson,Terri Dean
Jon Vargas,Gabriel Jordan
Frank Cabrera,Theresa Adams
Aaron Moore,Hannah Decker
Jerry Gregory,George Garrett
Aaron Humphrey Jr.,Matthew Perez
James Shaw,Jared Fisher
Raymond Moss,Joseph Perez
April Booth,Joseph Huang
Dillon Walker,Ryan Lewis
Richard Harris,David Hayes
Candice Fisher,Ashley Vega
Kenneth Castro,Tonya Tyler
Michael Mcmahon PhD,Regina Mcguire
Nathan Collier,Randy Rose
Mark Herrera,Glenda Schultz
Courtney Flores,Rachel Li
Morgan Clark,Amber Jones
Carolyn Smith,George Dickson
Debbie Morales,Javier Berry
Rebecca Ferrell,Amy Campbell
Jamie Scott,Charles Cooper
Kristi Harris,Adam Gonzales
Ashley Bond,Bobby Johnson
Luis Doyle,Sandra Irwin
Cheryl Dixon,Brenda Moore
Harry Harrison,Sabrina Boyle
Molly Harris,David Ryan
Jessica Day,Ricardo Jackson
Deborah Martinez,Nicole Tran
Thomas Malone,Mariah Scott
Timothy Davidson,Sierra Campbell
Wesley Clark,Mary Moss
Jonathan Finley,Terry Burch
Samuel Hale,Teresa Franklin
Sherri Harris,William Smith
Julie Chavez,Katherine Yates
Gina Best,Kevin Campbell
Larry Brown,Autumn Burnett
Dalton Barr,John Davis
Brooke Rodriguez,Michael Olson
Eric Pineda,Angel Perez
Darius Conner,David Jackson MD
Miss Melissa Martin DVM,James Romero
Claudia Mcdaniel,Jennifer Castro
Sharon Smith,Stephanie Evans
Yvonne Pierce,Andrea White
Charles Mason,Ian Craig
Deanna Davis,Raymond Lawrence
Jasmine Roberts,Morgan Torres
Victoria Sandoval,John White
Kristine Bartlett,Linda Jennings
Jaime Payne,Sandra Hammond
Gary Simmons,Taylor Garcia DDS
Matthew Maxwell,Joseph Marshall
Christina Porter,Sara Hubbard
Bonnie Potter,Kristy Gordon
Laura Sellers,Cindy Munoz
Gina Kim,Linda Butler
Alexis Wilson,Erica Figueroa
Keith Clark,Susan Weber
Adrian Schultz,Elizabeth Sanders
Joshua Martinez,Isaac Brown
Pamela Cline,Gregory Diaz
Travis Daugherty,Rodney Fisher
Gerald Tucker,Lisa Schneider
William Chandler,Linda Bishop
Lauren Joyce,Stephanie Bailey
Kenneth Brown,Jill Scott
Gregory Sullivan,Morgan Cardenas
Heidi Rhodes DVM,Lisa Robbins
Joseph Mccarthy,Stephanie Davis
Micheal Morgan,Jaclyn Webb
Nancy Williams,Sonya Johnson
Gregory Flynn,Paul Davis
Shannon Kane,Michele Cisneros
Peggy Garza,Richard Figueroa
Joseph Vaughan,Miguel Hunter
Bryan Smith,Steven Tyler
Jennifer Harrell,Robert Adams
Sarah Martin,Emily Hoover
Mr. James Henderson,Francisco Williams
Kristen Miller,David Martin
Brandy Bender,Cheryl Harrison
Debra Miller,Bradley Benton
William Fritz,Jennifer Todd
Marc Robertson,Colleen Erickson
Aaron Lee,Andrea Shaw
Richard Ball,Tracy Brooks
Cassandra Rogers,Taylor Matthews
Daniel Scott,Jonathan Parker
Jennifer Miller,Julie Ritter
Kristin Brown,Brenda Stafford
David Horton,Matthew Russell
Darren Garcia,Susan Mccann
Melanie Foley,Jacob Parrish
Debra Brown,Jennifer Fletcher
Tanya Wagner,Brandon Wilson
Mark Bryan,Roberto Valentine
Donna Vazquez,John Ferrell
Jerry Harrison,Kristi Taylor
Michelle Merritt,Joe Horton
Andrew Proctor,Jessica Robinson
Amy Russell,Chad Lopez
Karen Thomas,Kimberly Leon
Lisa Kelly,David Carter
Perry Sampson,Miguel Shepherd
Kaitlin Gonzalez,Jessica Scott
Timothy Estes,Lauren Cortez
Katrina Paul,Lisa Dunlap
Mary Sanchez,April Evans
Evelyn Wiley,John Morgan
John Melton,Douglas Roberts
Hannah Thompson,Melissa Johnson
Joshua Anderson,Kimberly Randall
David Brown,Melissa Gonzalez
Ryan Gonzales,Rhonda Conner
Tracy Thomas,Joseph Scott
Ashley Newman,Matthew Daniel
James White,Frank Jackson
Beth Nguyen,Lori White
Jennifer Ryan PhD,Jennifer Johnson
Jennifer Nelson,Michelle Chavez
Edward Watson,Larry Brown
Autumn Norris,Joseph Nelson
Brandy Mullins,Jessica Shields
Martin Perez,Natalie Moore
Rebekah Wilson,Derek Mccoy
Sarah Johnson,Teresa Chase
Karen Wyatt,Joy Garcia
Matthew Salazar,Brenda Kim
Bill Mitchell,Juan Brown
Melanie Reese,Joshua Hawkins
Cheryl Adams,Mark Nguyen
Anthony Kerr,Victor Smith
William Wood,Mackenzie Campbell
Travis Caldwell,Willie Jackson
David Brewer DVM,Tina Palmer
Brett Schmidt,Matthew Thompson
Teresa Taylor,Stacey Moore
Shane Martinez,Eric Bailey
James Davis,Kristen David
Michael Cook,Andrew Mcneil MD
George Weaver,Mary Rodriguez
Jeremy Abbott,Shaun Wilson
Joseph Nguyen,Lisa Roth
Richard West,Justin Smith
Garrett Melton,Julie Johnson
Sarah Harris,Benjamin Brandt
William Branch,Francisco Lane
Amanda Graham,Timothy Mayo
Cassidy Morris,Louis Mcintyre
Daniel Harper,Robert Parsons
Stephanie Davis,Tyler Smith
Jessica Murray,Ryan Schwartz
Luis Brown,Brooke Rodriguez
Alexandra Bailey,Scott Medina
Daniel Johnson,Scott West
Christopher Smith,Joseph Wilson
Gregory Williams,Connor Sharp
Matthew Clements,Juan Thompson
Bruce Williams,Devin Williams
Sean Evans,Preston Norton
Benjamin Collins,Evelyn Wilkinson
Bianca Cruz,Roy Lindsey
Ashley Reed,Christopher Hoffman
Sara Jenkins,Jennifer Hughes
Olivia Garcia,Dana Nichols
Cynthia Mcguire,Stephanie Weaver
Wayne Mcdonald,James Johnson
Colleen Fitzgerald,Christopher Smith
Tara Hensley,Summer Fernandez
Cindy Jones,Megan Garza
Robert Graham,Amy Lester
Ana Barnes,Kimberly Cunningham
Ann Perry,Shari Massey
Emily Clark,Michael Jackson
Melissa Jones,Larry Garcia
Robert Brennan,Michael Meyer
Judy Hampton,Cindy Acosta
Isaac Rivas,Lucas Villegas
Bridget Pierce,Amy Wells
Larry Vasquez,Jose Olson
Caleb Barajas,Nicole Gonzalez
Seth Hamilton,Felicia Reyes
Lindsay Robinson,Gregory Thomas
Jacob Bailey,Christina Mcclure
Mariah Smith DDS,Jennifer Porter
Sherry Bryant,Kyle Diaz
Belinda Wang,Derrick Hampton
William Clark,Francis Thomas
Andrew Contreras,Sandra Robinson
Jennifer Crawford,Drew Torres
Mary Myers,Anne Moore
Sarah Fox,Connie Garcia
Thomas Nelson,Elizabeth Mcintosh
Joseph Jenkins,Renee Acevedo
Tammy Key,Isabel Kline DVM
Jack Mullins,Dr. Michael Hernandez
Christine Cannon,Jennifer Miller
Gina Tate,Samantha Perkins
Phyllis Davis,Thomas Espinoza
Lindsey Jacobs,Pamela Perez
Sarah Nelson,Richard Hall
Victor Medina,Russell Nelson DDS
Ashley Peterson,Steve Miranda
Dr. Andrea Ferguson,Ryan Lawson
Dan Davis,Kevin Peck
Stephen Martinez,Megan Horn
Elaine Moore,Barry Perez MD
Aaron Gutierrez,Henry Davis
Mark Lopez,Brittany Lee
Ashley Kramer,Brandon Vargas
Gregory Morgan,Mr. Preston Clark DDS
Christian Parsons,Patricia Farley
Cindy Miller,Jessica Keller
Jessica Ruiz,Brenda Turner
Melanie Lin,Kelsey Caldwell
Anthony Bautista,Wayne Porter
Mary Novak,Eddie Smith
Jenna Baker,Anthony Moore
Edward Barrett,Erica Hall
Melissa Lara,Joshua Adkins
Chase Guerrero,Dr. David Hernandez
Jackie Miller MD,Charles Thompson
Eric Cochran,Katie Jones
Debra Mullins,Daniel Greene
Eddie Smith,James Erickson
Kristen Price,Mallory Rice
Mrs. Erika Terry,Robert Hurley
Amanda Hansen,Clayton Davidson
Karen Brown,Timothy Miller
Jennifer Benson,Benjamin Chavez
Jennifer Martin,Natasha Gonzalez
Alexis Stark,Bryan Collins
David Noble,Mary Roberson
Benjamin Hoffman,Anthony Moses
Dillon Fernandez,Shawn Duncan
Shirley Mosley,James Taylor
Amy Becker MD,Evan Scott
Luis Gould,Timothy Mcclure
Jeff Sparks,Teresa Tran
Laura Gonzalez,Jerry Andrews
Tonya Wilson,Maria Carter
Jean Smith,Timothy Harris
Matthew Pearson,Matthew Baker
Trevor Baker,Eric Wheeler
Yvonne Austin,Carrie Allen
Benjamin Velasquez,Jason Wright
Cheryl Smith,Jack Holt
Robert Boyer,Mary Hunt
Jacqueline Ramsey,William Henry
Nancy Berry,Alex Williams
Charles Hodges,Gregory Velazquez
Andrew Smith,Lydia Shepherd
Linda Jennings,Jasmine Lewis
Zachary Robinson,Jacob Bailey
Keith Williams,Sarah Peterson
Erin Munoz,Sean Arnold
Cathy Mcdaniel,Noah Bennett
Paul Lopez,Jennifer George
Jennifer Wilson,Vanessa Lucas
Donna Williams,Kimberly Perkins
Angela Lyons,Jessica Norris
Jill Evans,Sally Morgan
Ryan Cook,Vanessa Harris
Lisa Hall,Bruce Ochoa
Michael Yoder,Daniel Walker
Brandon Ward,Sonya Garcia
Alicia Miller,Lauren Juarez
Mark Donaldson,Benjamin Perez
Christina Brooks,Benjamin Johnson
Cheryl Wells,Steven Hobbs
Kristen Blackwell,Kaitlin Case
Justin Rodriguez,Michelle Cooper
Dalton Carroll,Courtney Jones
Janet Gould,Robert Griffin
Peter Mcpherson,Matthew Maxwell
Mark Davis,Madison Oconnor
David Parker,Mr. Christopher Austin
John Glass,Latasha Williams
Christopher Sanchez,Kirsten Meyer
Jonathan Blevins,Olivia Hernandez
Darlene Schultz,Nicholas Faulkner
Darren Smith,Mark Padilla
Marc Anderson,Ronald Sanders
Cameron Carter,Michael Carrillo
Sydney Hicks,Erin Ferguson
David Simon,Jeffrey Mcneil
Brandi King,Brandon Thompson
Roberto Williams,Edward Harris
Luke Evans,Brooke Jacobs
Michelle Kennedy,Natasha Matthews
Anna Ferguson,Leah Wilcox
Brandon Thompson,Stacie Estrada
Emily Martin,Tiffany Johnson
Danielle Crawford,Jennifer Short
Olivia James,James Mullen
Julie Lee,Mary Roberts
James Chavez,Molly Lyons DDS
Nancy Burch,Brandon Giles
Andrea Morgan,Casey Taylor
Marc Wu,Michael Hood
Brian Powell,Melissa Palmer
Michael Moore,Judy Mendoza
Sarah Smith,Ralph Garza
Brian Garcia,Amy Jones MD
Jenna Brown,Gary Powell
James Jensen,Anita Chambers
Samantha Curry,Tristan Luna
Susan Anderson,Seth Stout
Tracy Patrick,Joseph Hernandez
Brandon Mooney,Jeffrey Marquez
Lisa Hanson,Paul Serrano
Amanda Parker,Hannah Richardson
Andrew Oconnell,Andrew Gordon
Jennifer Williams,James Bauer
Kevin Baker,Ashlee Khan
Julian Baker,Sarah Kramer
Laura Gibbs,Stacey Weber
Melissa Dean,Kirk Miller
Charles Wright,Kathryn Lewis
Parker Landry,Michelle Burns
Michael Campbell,Scott Stephens
Travis Moore,Joseph Meza
Johnny Hoffman,Erin Higgins
Edward Clark,Kara Ross
Amanda Russell,Lauren Miller
Brooke Jacobs,Charles Saunders IV
Courtney Jordan,Roberto Evans
Christopher Miller,Leah Hudson
Claudia Freeman,Edward Valencia
Scott Brown,Cynthia Young
Daniel Estrada,Christina Ramirez
Joshua Brown,April Booth
Joseph Johnson,Nicole Cardenas
Shirley Warren,Linda Richardson
Laura Butler,Terrance Anderson
Gabriela Riley,Andrew Page
Michelle Wright,Stephanie Daugherty
Nancy Hawkins,Michael Ball
Deborah Hunter,Lisa Hicks
Eric Estrada,Gregory Williams
Benjamin Jones,Antonio Hanna
Alexander Escobar,Patricia Maynard
Carrie Green,Mr. Michael Logan
Jeffrey Johnson,Anthony Sparks
Jennifer Morris,Danny Stevens
Richard Wolfe,Mary Davis
Tricia Blake,Ronald Burke
Sandra Scott,James Jones
Mark Russo,Angela Baker
David Pierce,Jennifer Taylor
Andrea White,Richard Larson
Matthew Espinoza,Darrell Brown
